date,알러지,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
2019-11-03,0,50,,51,,80,,0
2019-11-04,0,43,,74,,89,,100
2019-11-05,73,35,,48,,88,,0
2019-11-06,70,46,,42,,86,,64
2019-11-07,0,32,,0,,84,,0
2019-11-08,80,39,,0,,97,,0
2019-11-09,0,58,,75,,96,,0
2019-11-10,70,0,,67,,88,,0
2019-11-11,81,32,,49,,90,,59
2019-11-12,0,57,,52,,85,,0
2019-11-13,0,57,,56,,81,,0
2019-11-14,0,49,,45,,90,,78
2019-11-15,0,86,,0,,83,,0
2019-11-16,0,50,,60,,73,,94
2019-11-17,84,100,,100,,90,,63
2019-11-18,75,59,,100,,96,,0
2019-11-19,0,49,,46,,84,,72
2019-11-20,68,54,,89,,97,,72
2019-11-21,0,53,,70,,75,,0
2019-11-22,100,62,,0,,100,,88
2019-11-23,81,53,,0,,85,,0
2019-11-24,70,51,,73,,73,,0
2019-11-25,76,62,,49,,89,,0
2019-11-26,0,48,,55,,84,,0
2019-11-27,0,52,,64,,78,,82
2019-11-28,0,62,,68,,83,,0
2019-11-29,0,37,,47,,83,,0
2019-11-30,0,0,,0,,72,,0
2019-12-01,0,99,,51,0.0,53,0.0,0
2019-12-02,0,0,,65,0.0,63,0.0,0
2019-12-03,0,84,,58,0.0,59,93.0,0
2019-12-04,0,69,,34,0.0,66,0.0,0
2019-12-05,0,82,,35,0.0,60,0.0,0
2019-12-06,0,56,,0,0.0,49,0.0,0
2019-12-07,0,57,,0,0.0,60,0.0,0
2019-12-08,0,59,,37,0.0,50,0.0,0
2019-12-09,0,100,,35,0.0,60,0.0,52
2019-12-10,64,76,,36,0.0,62,0.0,0
2019-12-11,0,60,,65,0.0,47,0.0,0
2019-12-12,63,80,,56,0.0,48,0.0,97
2019-12-13,0,60,,61,0.0,56,0.0,69
2019-12-14,0,63,,38,0.0,62,0.0,65
2019-12-15,58,77,,37,0.0,71,0.0,62
2019-12-16,0,84,,69,0.0,54,0.0,52
2019-12-17,75,74,,61,0.0,49,60.0,0
2019-12-18,0,72,,38,0.0,59,0.0,0
2019-12-19,55,44,,44,0.0,72,0.0,0
2019-12-20,0,0,,52,0.0,71,0.0,0
2019-12-21,0,76,,0,0.0,56,0.0,0
2019-12-22,0,0,,45,0.0,70,0.0,0
2019-12-23,100,68,,100,0.0,84,78.0,0
2019-12-24,0,86,,47,0.0,49,0.0,0
2019-12-25,0,85,,44,0.0,70,0.0,64
2019-12-26,0,52,,60,100.0,63,0.0,57
2019-12-27,0,86,,37,0.0,68,0.0,100
2019-12-28,0,65,,0,0.0,67,100.0,0
2019-12-29,0,0,,49,0.0,100,0.0,59
2019-12-30,0,43,,56,0.0,88,0.0,52
2019-12-31,0,80,,55,0.0,89,0.0,63
2020-01-01,0,57,,46,0.0,45,0.0,0
2020-01-02,0,55,,46,0.0,46,0.0,0
2020-01-03,0,57,,74,0.0,58,0.0,0
2020-01-04,0,88,,83,0.0,51,0.0,69
2020-01-05,98,0,,0,0.0,63,0.0,77
2020-01-06,55,35,,67,0.0,44,0.0,76
2020-01-07,54,36,,86,0.0,45,0.0,0
2020-01-08,0,75,,65,0.0,49,0.0,64
2020-01-09,0,100,,60,0.0,48,0.0,0
2020-01-10,53,51,,65,0.0,43,0.0,0
2020-01-11,0,0,,49,0.0,45,0.0,0
2020-01-12,0,62,,60,0.0,55,0.0,0
2020-01-13,100,58,,66,0.0,44,0.0,56
2020-01-14,0,65,,100,0.0,51,0.0,57
2020-01-15,0,41,,76,0.0,45,0.0,0
2020-01-16,57,74,,52,0.0,38,0.0,100
2020-01-17,0,61,,68,0.0,44,0.0,58
2020-01-18,61,74,,66,0.0,48,0.0,0
2020-01-19,0,52,,77,0.0,47,0.0,0
2020-01-20,0,74,,79,100.0,49,0.0,73
2020-01-21,0,53,,70,0.0,38,0.0,0
2020-01-22,52,0,,79,0.0,39,0.0,64
2020-01-23,89,0,,71,0.0,39,0.0,0
2020-01-24,77,97,,0,0.0,40,0.0,0
2020-01-25,0,68,,54,0.0,60,63.0,82
2020-01-26,62,86,,59,0.0,84,55.0,0
2020-01-27,0,64,,98,0.0,100,75.0,0
2020-01-28,74,57,,87,0.0,89,78.0,60
2020-01-29,0,61,,87,0.0,76,61.0,0
2020-01-30,0,38,,75,0.0,74,59.0,95
2020-01-31,95,45,,44,0.0,86,100.0,0
2020-02-01,99,82,,94,0.0,98,64.0,0
2020-02-02,84,65,,60,0.0,100,100.0,0
2020-02-03,70,85,,72,0.0,75,49.0,0
2020-02-04,0,94,,64,0.0,55,0.0,0
2020-02-05,82,0,,68,0.0,56,59.0,0
2020-02-06,77,58,,60,0.0,50,0.0,74
2020-02-07,74,0,,100,0.0,67,0.0,74
2020-02-08,0,75,,70,0.0,61,0.0,0
2020-02-09,0,67,,67,0.0,59,0.0,100
2020-02-10,85,59,,79,100.0,43,0.0,67
2020-02-11,90,64,,87,93.0,38,0.0,88
2020-02-12,0,74,,66,0.0,29,0.0,0
2020-02-13,99,67,,85,0.0,28,0.0,0
2020-02-14,0,94,,64,0.0,28,0.0,72
2020-02-15,0,63,,65,0.0,22,0.0,0
2020-02-16,74,63,,63,0.0,18,0.0,0
2020-02-17,69,76,,66,0.0,32,0.0,79
2020-02-18,77,84,,50,0.0,26,0.0,67
2020-02-19,100,68,,87,0.0,38,0.0,85
2020-02-20,72,0,,76,0.0,49,0.0,71
2020-02-21,67,0,,74,0.0,65,0.0,82
2020-02-22,0,61,,61,0.0,76,0.0,0
2020-02-23,0,65,,63,0.0,100,0.0,0
2020-02-24,0,92,,75,0.0,74,61.0,0
2020-02-25,65,0,,49,0.0,75,66.0,0
2020-02-26,84,53,,53,0.0,58,76.0,57
2020-02-27,0,51,,55,0.0,53,0.0,0
2020-02-28,63,100,,0,0.0,64,0.0,0
2020-02-29,0,66,,63,0.0,64,0.0,73
2020-03-01,0,46,,0,0.0,100,0.0,73
2020-03-02,0,59,,52,0.0,74,100.0,0
2020-03-03,42,0,,86,0.0,70,0.0,0
2020-03-04,43,56,,0,0.0,74,0.0,65
2020-03-05,47,60,,66,0.0,66,0.0,0
2020-03-06,47,71,,0,0.0,71,0.0,0
2020-03-07,44,0,,100,0.0,76,0.0,0
2020-03-08,37,52,,72,0.0,73,0.0,0
2020-03-09,0,52,,64,0.0,51,65.0,100
2020-03-10,43,0,,0,0.0,61,0.0,0
2020-03-11,0,51,,60,0.0,63,0.0,0
2020-03-12,0,57,,0,0.0,59,81.0,79
2020-03-13,0,47,,58,0.0,51,82.0,72
2020-03-14,100,44,,0,0.0,58,0.0,0
2020-03-15,46,0,,0,0.0,68,0.0,0
2020-03-16,51,62,,77,0.0,41,78.0,0
2020-03-17,45,37,,50,0.0,46,0.0,74
2020-03-18,40,70,,49,0.0,61,0.0,0
2020-03-19,0,47,,72,84.0,48,0.0,0
2020-03-20,0,59,,0,0.0,72,0.0,92
2020-03-21,46,52,,0,0.0,51,78.0,0
2020-03-22,0,66,,0,0.0,64,0.0,0
2020-03-23,41,43,,53,0.0,54,0.0,80
2020-03-24,51,58,,65,100.0,39,0.0,70
2020-03-25,47,100,,67,0.0,36,0.0,69
2020-03-26,33,40,,67,0.0,40,0.0,0
2020-03-27,38,43,,54,0.0,43,71.0,0
2020-03-28,0,0,,70,0.0,37,0.0,0
2020-03-29,0,61,,62,0.0,48,0.0,0
2020-03-30,37,43,,77,0.0,31,0.0,0
2020-03-31,39,46,,58,0.0,35,0.0,0
2020-04-01,0,0,,82,0.0,85,0.0,85
2020-04-02,61,88,,79,0.0,73,0.0,77
2020-04-03,0,0,,51,0.0,53,0.0,0
2020-04-04,95,62,,0,0.0,94,0.0,0
2020-04-05,73,0,,69,0.0,92,0.0,93
2020-04-06,91,66,,100,0.0,63,0.0,0
2020-04-07,59,69,,83,0.0,57,81.0,0
2020-04-08,0,66,,66,0.0,73,98.0,0
2020-04-09,0,54,,68,94.0,83,0.0,73
2020-04-10,60,54,,0,0.0,89,0.0,71
2020-04-11,62,60,,90,0.0,78,0.0,0
2020-04-12,0,0,,66,0.0,98,0.0,0
2020-04-13,63,63,,0,0.0,63,0.0,69
2020-04-14,92,56,,73,100.0,62,0.0,62
2020-04-15,0,48,,0,99.0,76,0.0,0
2020-04-16,51,70,,68,0.0,62,85.0,0
2020-04-17,70,77,,65,0.0,55,0.0,0
2020-04-18,0,74,,0,0.0,69,0.0,0
2020-04-19,71,68,,88,0.0,59,100.0,0
2020-04-20,64,70,,0,0.0,79,0.0,0
2020-04-21,77,62,,53,92.0,40,0.0,69
2020-04-22,59,40,,80,0.0,46,0.0,61
2020-04-23,68,58,,71,0.0,68,0.0,63
2020-04-24,52,100,,82,86.0,70,0.0,0
2020-04-25,97,91,,81,0.0,100,0.0,0
2020-04-26,70,93,,81,0.0,82,0.0,98
2020-04-27,100,68,,87,0.0,54,0.0,100
2020-04-28,49,53,,0,0.0,51,0.0,72
2020-04-29,80,74,,0,0.0,50,0.0,78
2020-04-30,82,74,,61,0.0,76,0.0,0
2020-05-01,63,54,,49,100.0,58,0.0,0
2020-05-02,44,65,,82,0.0,75,0.0,56
2020-05-03,50,38,,91,0.0,74,0.0,71
2020-05-04,100,80,,53,0.0,59,0.0,49
2020-05-05,66,49,,67,96.0,61,0.0,100
2020-05-06,54,58,,66,71.0,70,0.0,44
2020-05-07,49,65,,54,0.0,80,0.0,56
2020-05-08,46,45,,56,0.0,73,0.0,68
2020-05-09,63,62,,83,0.0,65,0.0,0
2020-05-10,0,88,,57,96.0,77,0.0,0
2020-05-11,59,52,,100,0.0,63,0.0,0
2020-05-12,62,46,,81,0.0,64,0.0,72
2020-05-13,44,55,,72,0.0,80,0.0,54
2020-05-14,42,67,,88,0.0,80,0.0,53
2020-05-15,81,51,,52,0.0,78,0.0,0
2020-05-16,0,86,,63,0.0,64,0.0,76
2020-05-17,52,46,,100,0.0,83,0.0,0
2020-05-18,54,53,,73,91.0,85,0.0,41
2020-05-19,46,59,,83,0.0,91,0.0,64
2020-05-20,66,35,,41,0.0,89,0.0,49
2020-05-21,53,40,,65,0.0,77,0.0,0
2020-05-22,65,75,,75,0.0,61,0.0,51
2020-05-23,67,43,,86,0.0,77,0.0,90
2020-05-24,50,64,,61,0.0,73,0.0,0
